,SA_HOMER_ID,DEVICE_ID,D_DAY,LATITUDE_HOME,LONGITUDE_HOME,LATITUDE_WORK,LONGITUDE_WORK,CNT_LOG_HOME,CNT_LOG_NON_HOME,VOLUME,UNITS,Unnamed: 11,Distance
0,5102845,5392723,2017/11/10,38.9321,116.9161,,,1,0,3300.0,1.0,,
1,5102778,5393978,2017/11/10,39.5277,117.1871,39.5276,117.18700000000001,0,1,8297.0,3.0,,14.042870355014205
2,5c7952,5395457,2017/11/10,24.982,118.8629,24.9813,118.9015,0,1,8698.0,3.0,,3891.3448256508054
3,532467,5399273,2017/11/10,24.8202,113.5832,24.7835,113.5758,3,8,11237.0,3.0,,4148.650039699542
4,5m4682,5393767,2017/11/10,37.0264,111.9119,37.0037,111.8531,4,8,10686.0,3.0,,5798.830460995115
5,5g6785,5395613,2017/11/10,26.7262,117.471,26.7252,117.4722,2,7,7997.0,3.0,,162.99686455064068
6,511608,5401563,2017/11/10,24.784000000000002,112.3747,24.7827,112.3774,3,7,18573.0,5.0,,308.53356149449786
7,502870,5398543,2017/11/10,22.8527,113.0451,22.851999999999997,113.0443,4,8,9186.0,3.0,,113.04068278848426
8,5b4239,5393020,2017/11/10,33.2682,114.2594,33.2681,114.2596,3,9,10200.0,2.0,,21.665428961941444
9,5a5282,5395215,2017/11/10,38.3673,117.3434,38.3676,117.3434,4,2,8728.0,3.0,,33.35847799370506
10,5f9353,5401492,2017/11/10,33.4448,113.624,33.4479,113.6085,0,7,6020.0,4.0,,1478.844756696417
11,5c8964,5395205,2017/11/10,24.4963,118.0308,24.4983,118.0333,4,8,4300.0,1.0,,336.8198167594221
12,5r2393,5396282,2017/11/10,43.8723,125.3753,43.8293,125.3838,1,9,2000.0,2.0,,4829.71902561964
13,540727,5396021,2017/11/10,35.1838,119.0838,35.1678,118.889,2,9,10800.0,2.0,,17794.42140457952
14,5c3175,5395758,2017/11/10,37.8003,115.8866,37.7944,115.8815,0,2,1369.0,1.0,,794.4827095396577
15,5r8319,5398753,2017/11/10,32.8364,109.3602,32.8368,109.3603,3,10,21796.0,7.0,,45.44863302196889
16,5m7411,5401623,2017/11/10,34.5207,107.4008,,,2,0,12649.0,3.0,,
17,5e3704,5401409,2017/11/10,28.7161,115.7855,28.6992,115.804,3,4,9986.0,2.0,,2605.1280460978996
18,509834,5401164,2017/11/10,22.6181,113.1769,22.6182,113.1767,4,8,6699.0,2.0,,23.346616215914842
19,5a3810,5396714,2017/11/10,39.2383,118.2036,39.2376,118.2037,2,1,6000.0,2.0,,78.31146157606716
20,5101260,5394645,2017/11/10,39.1299,117.2727,39.1299,117.2729,3,8,11311.0,4.0,,17.251163009306957
21,5c1094,5392957,2017/11/10,40.9754,117.9324,40.973,117.9325,4,8,2999.0,1.0,,266.9998427812281
22,5k4134,5392376,2017/11/10,41.5797,120.449,41.5839,120.4251,1,1,5998.0,2.0,,2042.0000676015006
23,533588,5396826,2017/11/10,36.7038,118.6668,36.7036,118.6667,4,8,1299.0,1.0,,23.95930039141126
24,5e3697,5401411,2017/11/10,28.7398,115.8364,28.741,115.8466,3,8,6260.0,2.0,,1003.3765012802744
25,557426,5396504,2017/11/10,37.1927,122.052,37.1934,122.052,2,8,4098.0,1.0,,77.83644865056382
26,5c1286,5393114,2017/11/10,40.9304,117.3246,40.9304,117.3249,4,8,3200.0,1.0,,25.202529284959898
27,5c2440,5396397,2017/11/10,39.8246,116.9862,39.7572,117.0051,3,9,1950.0,1.0,,7666.53526843018
28,517456,5397989,2017/11/10,21.5376,111.2308,21.5378,111.2285,4,2,7999.0,3.0,,238.9282467840482
29,5013485,5398630,2017/11/10,23.2914,113.8247,23.2914,113.8245,3,3,12898.0,3.0,,20.426635714626006
30,5711008,5394429,2017/11/10,28.0086,110.1922,28.0085,110.1918,3,3,5798.0,2.0,,40.81257302673419
31,5m7441,5401624,2017/11/10,34.3553,107.1583,34.3657,107.1804,3,1,2299.0,1.0,,2335.065304535441
32,5s5174,5399369,2017/11/10,33.8704,109.9343,33.871,109.9342,3,1,18198.0,3.0,,67.35273573172225
33,574234,5396417,2017/11/10,36.2058,117.6576,36.2053,117.6576,4,8,7500.0,2.0,,55.597463322134445
34,512596,5394619,2017/11/10,24.0354,112.042,23.9132,112.1907,3,8,2999.0,1.0,,20319.741570128772
35,5f2980,5398996,2017/11/10,25.7992,114.5352,25.7937,114.5377,2,5,6398.0,3.0,,660.8047047803838
36,5041229,5399379,2017/11/10,22.8404,114.3506,22.8305,114.4064,3,8,13533.0,5.0,,5823.36928622256
37,5c7949,5395723,2017/11/10,24.7499,118.6339,24.7493,118.6301,3,3,9730.0,4.0,,389.48539448610154
38,5102366,5392667,2017/11/10,39.1385,117.1775,39.088,117.3167,2,5,15400.0,3.0,,13257.58890289225
39,5221344,5397677,2017/11/10,36.259,120.3618,36.2588,120.3618,4,3,10719.0,4.0,,22.238985328429383
40,5a3392,5397082,2017/11/10,39.6363,118.0462,39.6364,118.0468,3,6,18494.0,7.0,,52.56877737550762
41,5v3211,5394240,2017/11/10,44.0595,131.12,44.0597,131.1203,2,1,8198.0,3.0,,32.69904418456784
42,567212,5401386,2017/11/10,29.2575,113.8049,29.2571,113.8053,3,4,1000.0,1.0,,59.02581379488293
43,509568,5401246,2017/11/10,22.7139,113.315,22.7166,113.3126,0,2,5396.0,2.0,,388.2456317104689
44,502996,5398364,2017/11/10,22.9643,113.083,22.9645,113.0838,3,7,4000.0,1.0,,84.87142122168117
45,5c8808,5395312,2017/11/10,24.4975,118.1373,24.4971,118.13799999999999,3,9,6296.0,3.0,,83.63690989347545
46,5a7751,5396183,2017/11/10,39.1171,116.0262,39.1174,116.0268,3,5,11400.0,3.0,,61.58062862261125
47,5r8324,5398748,2017/11/10,32.766,109.376,32.701,109.4208,3,9,6400.0,2.0,,8354.57920159631
48,512510,5394340,2017/11/10,23.051,112.464,23.0512,112.4639,0,3,12699.0,3.0,,24.479777333866828
49,5a8294,5396161,2017/11/10,37.0631,115.0259,37.0643,115.0188,3,9,2199.0,1.0,,643.9573534776135
50,5k4084,5392515,2017/11/10,41.2327,119.3449,41.2244,119.295,2,1,8095.0,4.0,,4273.88645210868
51,5b1588,5394598,2017/11/10,34.1309,112.0814,34.1358,112.0803,1,1,10898.0,3.0,,554.1817649349191
52,565525,5398825,2017/11/10,22.7822,115.4257,22.7686,115.4368,4,8,27998.0,7.0,,1892.6197694495786
53,5b9186,5395235,2017/11/10,39.8393,114.5776,39.8393,114.5776,4,9,10800.0,2.0,,0.0
54,531346,5398089,2017/11/10,24.1003,115.2565,24.1,115.2568,4,7,5596.0,3.0,,45.1667421281
55,5021260,5398211,2017/11/10,22.944000000000003,112.9816,22.9478,112.9664,1,4,1999.0,1.0,,1612.762406631722
56,5m2382,5393569,2017/11/10,37.8189,112.581,37.8191,112.5804,2,3,3388.0,1.0,,57.20312090451756
57,5j7295,5392650,2017/11/10,40.9474,122.5276,40.9465,122.5297,3,2,13677.0,5.0,,202.78734429456642
58,5221219,5397656,2017/11/10,36.0942,120.35700000000001,36.0935,120.3499,2,4,2800.0,1.0,,642.6759123796465
59,558882,5401176,2017/11/10,23.3841,116.4997,23.3843,116.4995,3,9,14080.0,4.0,,30.186705234576873
60,5j3306,5394731,2017/11/10,21.612,108.3397,21.6123,108.3372,3,2,4698.0,2.0,,260.5883291062364
61,532552,5399176,2017/11/10,25.288,113.053,25.2882,113.0521,2,7,8888.0,1.0,,93.17815290575685
62,540507,5397023,2017/11/11,35.0655,118.3396,35.0657,118.3389,1,6,12236.0,5.0,,67.4786969674351
63,5b4763,5392992,2017/11/10,32.9872,114.0423,32.9872,114.042,2,8,10500.0,2.0,,27.98083183030779
64,5c2398,5396375,2017/11/10,39.3561,116.2501,39.3518,116.2495,4,8,2799.0,1.0,,480.9131852908629
65,5m4276,5393786,2017/11/10,37.0695,111.9739,37.1209,112.0362,3,9,12976.0,2.0,,7949.711443702818
66,5101114,5394503,2017/11/10,39.7284,117.4235,,,2,0,550.0,1.0,,
67,5c71350,5395459,2017/11/10,24.705,118.4182,24.7055,118.4192,2,8,2999.0,1.0,,115.30637946760602
68,5c7724,5395776,2017/11/10,24.7192,118.5204,24.7192,118.5201,3,7,2999.0,1.0,,30.301777203317208
69,5r4156,5401482,2017/11/10,23.8972,106.61,,,3,0,1499.0,1.0,,
70,5101158,5392697,2017/11/10,39.0931,117.2179,,,1,0,13218.0,3.0,,
71,5101622,5394426,2017/11/10,39.3747,117.0629,39.3747,117.0632,4,8,9098.0,3.0,,25.786563001983975
72,511554,5401258,2017/11/10,23.746,113.0081,23.7382,113.016,1,4,2999.0,1.0,,1182.7144020455903
73,535341,5397559,2017/11/10,37.4553,121.4297,37.4559,121.4304,4,8,4997.0,3.0,,90.9338870185957
74,532714,5399167,2017/11/10,24.8086,113.594,24.8086,113.5939,0,1,800.0,1.0,,10.093324825912
75,5r2398,5396381,2017/11/10,44.4872,126.1948,44.4862,126.1955,3,9,21797.0,5.0,,124.289348011705
76,5w4051,5393631,2017/11/10,42.2698,118.9433,,,1,0,6000.0,1.0,,
77,5a3240,5397126,2017/11/10,39.7135,118.4487,39.7136,118.4486,2,9,2800.0,1.0,,14.028830741598137
78,5a8383,5396186,2017/11/10,37.4927,114.6914,37.4856,114.6886,4,2,8899.0,3.0,,827.2334937420151
79,5871195,5394315,2017/11/10,30.7452,120.8513,30.744,120.8499,3,5,2400.0,1.0,,188.95868944048368
80,522798,5397542,2017/11/10,36.6702,120.5269,36.6701,120.5227,3,4,12499.0,2.0,,374.7545703426005
81,5h5965,5396927,2017/11/10,40.1359,116.1354,40.1358,116.1344,3,9,2450.0,1.0,,85.73468572388275
82,5b5811,5392662,2017/11/10,31.625,114.8699,31.6251,114.8695,4,4,19584.0,3.0,,39.47149739144863
83,5021203,5397997,2017/11/10,23.1276,113.0047,23.1279,113.0051,2,5,4800.0,1.0,,52.78135121812008
84,5b6685,5393140,2017/11/10,32.6888,112.0896,32.6889,112.0896,3,4,6000.0,2.0,,11.119492663861031
85,5h51507,5396933,2017/11/10,40.46,115.975,40.4604,115.9752,3,2,9198.0,2.0,,47.58780811407898
86,5q5179,5395806,2017/11/10,21.9657,108.619,,,1,0,12228.0,3.0,,
87,5031054,5401718,2017/11/10,22.2254,113.5016,22.2253,113.5017,3,4,2699.0,1.0,,15.152432084042468
88,5102042,5394458,2017/11/10,39.4461,117.3777,39.4461,117.3775,3,7,13188.0,2.0,,17.173447548044273
89,5w6005,5393448,2017/11/10,41.0323,113.1042,41.0332,113.1032,5,2,2499.0,1.0,,130.5780953230863
90,5m3301,5393115,2017/11/10,40.0116,113.2078,,,4,0,22295.0,8.0,,
91,5c2607,5397197,2017/11/10,39.1104,116.3976,39.1108,116.3977,3,9,6050.0,3.0,,45.30707786856435
92,5e4559,5393012,2017/11/10,24.1165,117.6192,24.1041,117.6263,3,5,5299.0,2.0,,1555.7684049845714
93,5h8064,5395827,2017/11/10,23.8233,108.8855,23.7919,108.8746,2,8,11999.0,4.0,,3663.3797459394386
94,5102282,5394378,2017/11/10,39.0172,117.6592,39.0178,117.6595,4,8,7899.0,2.0,,71.57439898322228
95,5b2807,5393149,2017/11/10,36.1129,114.209,36.1177,114.2113,3,9,12698.0,3.0,,572.3268762098886
96,5013556,5398674,2017/11/10,22.8262,113.5033,22.8265,113.5034,0,8,4300.0,1.0,,34.89732433280336
97,5021062,5398407,2017/11/10,22.7119,113.1474,22.708000000000002,113.1507,4,3,15492.0,4.0,,550.1270142253389
98,5j7313,5392585,2017/11/10,41.0577,122.4686,41.0577,122.4685,3,8,5119.0,2.0,,8.384636875998428
99,570324,5390041,2017/11/10,27.1181,111.0256,27.1178,111.0297,3,5,10194.0,4.0,,407.1510759851073
100,5c1486,5393025,2017/11/10,40.5774,117.7958,40.5797,117.835,3,9,2100.0,2.0,,3320.4684380511458
101,5221460,5397247,2017/11/10,35.9,120.029,35.8999,120.0291,1,6,2398.0,1.0,,14.309919971661639
102,5m2395,5394030,2017/11/10,,,37.7357,112.5662,0,2,2799.0,1.0,,
103,5221689,5397539,2017/11/10,36.6462,119.7887,36.6431,119.78200000000001,4,7,2699.0,1.0,,690.0254148869768
104,5c9427,5395682,2017/11/10,25.0556,116.4185,25.0687,116.4088,3,9,16178.0,3.0,,1753.9803552100054
105,5a5150,5395596,2017/11/10,38.0561,117.2233,38.0541,117.2325,3,4,2000.0,2.0,,835.6588164750699
106,5r2435,5394107,2017/11/10,44.1506,125.8284,,,3,0,5578.0,2.0,,
107,5i1744,5401158,2017/11/10,24.9106,103.1369,24.9086,103.1362,0,9,10896.0,4.0,,233.32591921267144
108,568421,5395925,2017/11/10,32.6481,110.7803,32.6479,110.7812,3,6,3999.0,1.0,,87.14886694577774
109,568421,5395870,2017/11/10,32.6478,110.7817,32.6478,110.7813,3,8,3999.0,1.0,,37.45056804739012
110,526426,5401323,2017/11/10,29.3758,113.1028,,,1,0,4298.0,2.0,,
111,5q5185,5394717,2017/11/10,22.4224,109.2981,22.416999999999998,109.2878,0,2,4899.0,2.0,,1217.157707428283
112,5m2344,5393750,2017/11/10,37.6054,112.3509,37.6052,112.3512,1,3,5398.0,2.0,,34.53976645116928
113,5a7840,5396194,2017/11/10,39.4146,115.9378,39.4128,115.9075,3,9,3669.0,2.0,,2610.67110845928
114,5m4350,5393835,2017/11/10,37.4198,112.5551,37.4398,112.5519,2,7,2500.0,1.0,,2241.777054075695
115,5r3157,5401531,2017/11/10,22.409000000000002,107.3485,22.4148,107.3446,2,8,7667.0,3.0,,759.3812372685404
116,5n6004,5401357,2017/11/10,27.7417,98.6663,27.7467,98.6659,3,3,2398.0,1.0,,557.366450921079
117,5u2336,5401673,2017/11/10,44.9635,125.6724,44.9634,125.6696,1,7,1000.0,1.0,,220.57557058217424
118,574104,5396466,2017/11/10,36.3179,117.6181,36.3181,117.618,3,8,15556.0,3.0,,23.975907179105
119,5c8797,5394963,2017/11/10,24.5007,118.0349,24.5004,118.0348,3,9,2999.0,1.0,,34.85924997013139
120,538741,5393540,2017/11/10,35.7611,116.7918,,,2,0,8399.0,2.0,,
121,5j6224,5394945,2017/11/10,23.4787,111.2849,23.4788,111.2849,0,1,3798.0,2.0,,11.119492664568353
122,540806,5397026,2017/11/10,35.1472,118.1962,35.1795,118.2129,4,8,4199.0,2.0,,3899.249603326672
123,539358,5393124,2017/11/10,35.7858,116.1028,35.8037,116.0869,3,9,3198.0,1.0,,2453.1944384882154
124,5w5095,5401611,2017/11/10,42.7304,121.7653,42.7306,121.765,3,4,8310.0,4.0,,33.090757250570164
125,5m4542,5393238,2017/11/10,37.6078,113.70200000000001,37.6076,113.7019,3,3,2998.0,1.0,,23.92007558925114
126,5c51182,5399515,2017/11/10,25.9766,119.6238,25.9576,119.6636,4,8,2499.0,1.0,,4504.907907355447
127,5c8952,5395031,2017/11/10,24.7288,118.1436,24.7307,118.14200000000001,4,8,2999.0,1.0,,265.98563929883915
128,5c8666,5395156,2017/11/10,24.4821,118.1788,24.4831,118.1763,3,5,23997.0,5.0,,276.3505246449445
129,576252,5401584,2017/11/10,30.2155,115.0819,30.2022,115.0335,2,7,9100.0,2.0,,4880.4307658929465
130,5c1318,5393103,2017/11/10,40.9043,117.9474,40.9625,117.9247,4,8,5000.0,2.0,,6746.641835662886
131,5h3397,5394437,2017/11/10,35.8431,115.1223,35.8769,115.1409,1,3,8000.0,2.0,,4115.229543286085
132,5a3891,5396770,2017/11/10,39.8982,117.8689,39.9454,117.8523,3,9,800.0,1.0,,5435.959928351131
133,515524,5398950,2017/11/10,20.3348,109.9924,20.3341,109.9893,2,1,6997.0,4.0,,332.46233788897575
134,5a7513,5396318,2017/11/10,39.2612,115.8005,39.2616,115.8088,3,8,3400.0,1.0,,715.9675130217312
135,5k6571,5392600,2017/11/10,42.0509,123.5152,42.0509,123.515,3,2,7997.0,3.0,,16.513560669276192
136,530639,5398801,2017/11/10,23.7444,116.1852,23.759,116.1782,2,4,1898.0,1.0,,1772.891044937458
137,5101558,5394466,2017/11/10,39.3753,117.0628,39.375,117.0619,3,9,2998.0,1.0,,84.24507339003914
138,5b7447,5392916,2017/11/10,33.7947,114.527,33.7946,114.527,3,2,7999.0,2.0,,11.119492663861031
139,5021290,5398222,2017/11/10,23.0998,113.1707,23.1005,113.169,0,5,7897.0,3.0,,190.50197768020132
140,5r3221,5401498,2017/11/10,23.0859,107.1372,23.0873,107.13799999999999,3,2,2999.0,1.0,,175.87065080780377
141,5b4611,5394234,2017/11/10,32.7549,114.9661,32.829,114.9749,2,9,3998.0,2.0,,8280.502821959477
142,5041142,5399042,2017/11/10,22.9834,114.7181,22.9822,114.7162,0,1,2999.0,1.0,,235.87056400512148
143,538500,5393575,2017/11/10,36.2044,116.6847,36.1907,116.7415,3,4,25598.0,3.0,,5319.60565040613
144,5k8110,5396200,2017/11/10,43.1975,124.0489,43.1977,124.04899999999999,4,3,5000.0,1.0,,23.6702556747614
145,543402,5396129,2017/11/10,35.1315,115.3085,35.1282,115.3076,4,8,8300.0,3.0,,375.9604187294359
146,512451,5398173,2017/11/10,23.3364,112.7124,23.331999999999997,112.7118,2,7,3500.0,1.0,,493.0779703651998
147,5c3118,5395548,2017/11/10,37.8679,116.1449,37.868,116.1515,2,2,5398.0,2.0,,579.4569539623698
148,568587,5396734,2017/11/10,32.6461,110.6833,32.6477,110.6719,3,8,7787.0,2.0,,1082.0779923685457
149,5a5196,5395637,2017/11/10,38.7093,116.1035,38.6946,116.0657,2,8,5800.0,2.0,,3664.895059297889
150,522586,5397510,2017/11/10,36.0669,120.3857,36.0668,120.3858,3,8,2698.0,1.0,,14.297948652458771
151,5053631,5394354,2017/11/10,22.8008,114.1399,22.8007,114.1398,1,8,3000.0,1.0,,15.123418841889825
152,5c71337,5395748,2017/11/10,25.1721,118.9181,25.1786,118.9033,3,9,1000.0,1.0,,1655.4727388522572
153,5102062,5394549,2017/11/10,39.1775,117.3761,39.1692,117.3808,2,1,2998.0,1.0,,1007.9313759558863
154,5t9206,5394591,2017/11/10,47.2939,132.3359,47.2901,132.3388,3,1,2500.0,1.0,,475.79130628531885
155,564235,5396521,2017/11/10,34.5688,117.7278,34.575,117.7257,3,8,5099.0,2.0,,715.7191027386583
156,5a3643,5396811,2017/11/10,40.0603,118.4072,40.0953,118.4027,3,2,1299.0,1.0,,3910.610486457257
157,5b1583,5394582,2017/11/10,34.5181,112.171,34.5187,112.1756,1,3,1000.0,1.0,,426.69288259001416
158,5a3873,5397150,2017/11/10,39.7708,118.4136,39.7707,118.4134,3,9,4800.0,2.0,,20.391605217422054
159,5r3095,5394752,2017/11/10,21.5459,107.9662,21.5461,107.9664,1,4,5697.0,2.0,,30.371719946482592
160,545349,5401514,2017/11/10,36.7139,116.3321,36.708,116.2803,4,8,1000.0,1.0,,4663.860039945211
161,540740,5397025,2017/11/10,35.5075,117.6316,35.5064,117.6235,1,9,7498.0,3.0,,743.3257178282684
162,5g6490,5399000,2017/11/10,26.8458,116.3232,26.8481,116.324,3,9,4000.0,1.0,,267.78064815731227
163,5f9212,5401230,2017/11/10,33.5596,113.65700000000001,33.6017,113.6665,3,1,2799.0,1.0,,4763.310492036819
164,515071,5398956,2017/11/10,21.3795,110.2452,21.3789,110.2464,3,9,5199.0,2.0,,141.03096530282855
165,564410,5397584,2017/11/10,34.8527,117.5492,34.8573,117.55,3,9,3980.0,1.0,,516.6792490954856
166,5101058,5394558,2017/11/10,39.1168,117.14200000000001,39.1358,117.1729,3,3,3199.0,1.0,,3401.189728180369
167,544573,5397346,2017/11/10,37.1508,115.8912,37.13,115.9316,4,8,1600.0,1.0,,4263.009337008462
168,535722,5397522,2017/11/10,37.3859,121.5943,37.3862,121.5942,4,8,6096.0,1.0,,34.50865985531378
169,5h51636,5396938,2017/11/10,40.233000000000004,116.1221,,,1,0,2600.0,1.0,,
170,5b2434,5393641,2017/11/10,35.5731,114.5201,,,2,0,2499.0,1.0,,
171,5w8070,5395999,2017/11/10,49.2838,120.7302,,,1,0,2699.0,1.0,,
172,5221019,5397629,2017/11/10,35.9695,120.1736,35.9694,120.1732,4,6,6000.0,1.0,,37.67563760911886
173,5013387,5398598,2017/11/10,23.2138,113.2744,,,1,0,2899.0,1.0,,
174,5c9421,5395711,2017/11/10,25.1008,117.0094,25.0985,117.0169,3,9,2998.0,1.0,,797.3408919738755
175,5c71378,5395461,2017/11/10,25.0618,118.1659,25.057,118.1742,1,3,6000.0,1.0,,991.8877947643823
176,5r6350,5395944,2017/11/10,45.7044,126.6037,45.7106,126.596,0,5,1889.0,1.0,,912.5638931430514
177,5h51500,5397434,2017/11/10,40.4596,115.9716,40.4598,115.9718,3,9,9600.0,1.0,,27.944343569485184
178,5101880,5392702,2017/11/10,39.1204,117.1784,39.1193,117.1785,2,3,1299.0,1.0,,122.61826560594352
179,5k5127,5396588,2017/11/10,42.0109,121.6115,42.0108,121.6119,1,7,2398.0,1.0,,34.86845671514802
180,5a6482,5395082,2017/11/10,36.2253,114.9728,,,1,0,2400.0,1.0,,
181,5a7210,5397284,2017/11/10,38.9252,115.9127,38.928000000000004,115.9155,4,5,7499.0,3.0,,394.4652406025533
182,5c4395,5396138,2017/11/10,39.8902,119.2366,39.8888,119.2426,4,8,1000.0,1.0,,535.0546683495281
183,5101964,5394512,2017/11/10,39.6757,117.3659,,,2,0,2650.0,1.0,,
184,5f9376,5401750,2017/11/11,33.5709,114.0236,33.5707,114.0243,2,2,38298.0,13.0,,68.56062036387159
185,5102770,5394110,2017/11/11,39.0218,116.9132,39.0214,116.9115,1,6,7845.0,2.0,,153.44765362037364
186,533468,5397076,2017/11/11,36.696999999999996,118.4804,36.6972,118.4803,2,8,27440.0,23.0,,23.95958523100131
187,5k6594,5392636,2017/11/11,41.8074,123.4366,41.8316,123.3532,1,4,14264.0,4.0,,7416.569354026844
188,5a7624,5396341,2017/11/10,38.8578,115.4917,38.8577,115.4916,3,4,5650.0,1.0,,14.093197125420623
189,5d3436,5401513,2017/11/10,31.7659,116.5378,31.7641,116.54,1,3,2000.0,1.0,,288.6502197838328
190,5j6210,5394995,2017/11/10,22.9202,110.9897,22.8991,111.0201,1,7,4000.0,1.0,,3898.685730480809
191,539386,5393200,2017/11/10,35.7247,116.4888,35.7249,116.4888,1,8,8388.0,1.0,,22.238985328429383
192,5b4212,5392954,2017/11/11,32.9846,114.01700000000001,32.9827,114.01799999999999,0,7,11870.0,3.0,,230.94383148532475
193,5c7939,5395491,2017/11/11,24.9913,118.9059,24.9982,118.9086,4,7,19000.0,4.0,,814.06892897072
194,565525,5398825,2017/11/11,22.7801,115.4187,22.7596,115.4443,4,8,29648.0,6.0,,3476.4057337976146
195,517309,5397978,2017/11/10,22.3558,110.9343,22.3537,110.9359,0,1,4750.0,1.0,,285.6578843839879
196,5021137,5398038,2017/11/11,23.1995,113.1529,23.1996,113.1527,2,2,33049.0,7.0,,23.269413062958403
197,564213,5396554,2017/11/10,34.7917,117.2576,34.7917,117.2579,2,8,2068.0,1.0,,27.39504544253697
198,5j7310,5392383,2017/11/10,40.2818,123.2865,,,1,0,2999.0,1.0,,
199,5a7450,5397291,2017/11/10,39.3519,115.4913,39.3522,115.4812,3,8,5000.0,1.0,,869.0696554582515
200,517633,5398344,2017/11/10,21.7811,111.2103,21.7803,111.2045,4,8,2980.0,1.0,,605.4600251219201
201,5102246,5393544,2017/11/10,40.0612,117.3035,40.0616,117.3034,3,8,3200.0,1.0,,45.2848332430431
202,533703,5396631,2017/11/10,36.9923,118.962,36.9863,118.9593,3,8,2340.0,1.0,,708.958192595743
203,5a61020,5395131,2017/11/10,36.4419,114.6804,36.4491,114.6772,1,5,4000.0,2.0,,850.2323228832624
204,5t9222,5392695,2017/11/10,46.7266,129.9001,46.7292,129.8916,1,6,1000.0,1.0,,709.4501076817808
205,5b4176,5393017,2017/11/10,32.9843,114.0289,,,1,0,3900.0,1.0,,
206,535947,5401602,2017/11/11,37.489000000000004,121.3559,37.4745,121.3169,3,6,6407.0,3.0,,3800.2804613568724
207,5b5840,5392653,2017/11/11,31.9012,114.5155,31.9842,114.5137,3,8,16475.0,3.0,,9230.741584549638
208,5u4148,5396277,2017/11/11,40.6157,120.7009,40.6152,120.7013,4,8,16394.0,7.0,,65.04629762901384
209,539473,5393221,2017/11/11,35.4185,116.5687,35.4185,116.5686,4,8,7700.0,3.0,,9.061727262559087
210,5c9394,5395699,2017/11/11,25.8434,116.3559,25.8446,116.3556,3,8,8000.0,2.0,,136.76964460787443
211,558861,5401205,2017/11/11,23.4689,116.7619,23.4648,116.7624,0,1,5599.0,2.0,,458.7428267961974
212,566410,5398881,2017/11/11,23.6684,116.9108,23.6784,116.9126,4,8,12098.0,5.0,,1126.9574043387004
213,5h8176,5395840,2017/11/11,23.8229,108.8854,23.826999999999998,108.87700000000001,3,9,4397.0,2.0,,968.460506463467
214,5h7474,5394767,2017/11/11,23.2218,108.8111,23.2205,108.8027,3,3,14893.0,5.0,,870.4574997742659
215,5m3301,5393115,2017/11/11,40.0115,113.208,40.0114,113.2079,1,1,8196.0,3.0,,14.006267965503111
216,5g7362,5394504,2017/11/11,39.3276,117.8232,39.3275,117.8231,3,9,8298.0,3.0,,14.057947057455973
217,5d8361,5401530,2017/11/11,29.0312,114.5652,29.0271,114.5625,2,7,15878.0,3.0,,526.0755183360617
218,539358,5393124,2017/11/11,35.7669,116.1131,35.8134,116.0901,3,9,23899.0,5.0,,5571.215832076852
219,535603,5397533,2017/11/11,37.513000000000005,121.2655,37.5196,121.2684,3,3,13000.0,4.0,,777.1803356647329
220,5b6250,5393991,2017/11/11,33.2869,111.4874,33.2874,111.4862,4,3,13848.0,9.0,,124.62976426264495
221,5b1580,5394351,2017/11/11,34.7271,112.1384,34.727,112.1388,3,2,6699.0,2.0,,38.20910924561922
222,5102197,5394641,2017/11/11,39.3616,116.8954,39.3627,116.8954,3,9,9248.0,4.0,,122.31441930812991
223,540621,5396074,2017/11/11,34.8572,118.0419,34.8489,118.0392,2,9,27395.0,11.0,,955.2363667520272
224,5013445,5398631,2017/11/11,23.4533,113.2694,23.4531,113.2696,3,4,5199.0,2.0,,30.17950846821385
225,5b6353,5393986,2017/11/11,32.9966,112.516,32.9965,112.5162,3,9,20000.0,7.0,,21.714901078759038
226,5w8193,5396013,2017/11/11,49.2031,119.73200000000001,49.2046,119.7339,1,8,10976.0,4.0,,216.50426521894352
227,5k5162,5396566,2017/11/11,41.8333,121.4796,41.7762,121.4137,0,1,10380.0,2.0,,8375.495806616715
228,5c2337,5397229,2017/11/11,39.9333,117.0811,39.9889,117.0584,2,8,12931.0,4.0,,6478.084159503579
229,5m3318,5393336,2017/11/11,40.117,113.2902,40.1188,113.2549,4,1,13048.0,5.0,,3008.330461813381
230,5c3235,5395040,2017/11/11,37.3441,115.9635,37.346,115.9631,4,1,9000.0,3.0,,214.20897216734033
231,5k6604,5392567,2017/11/11,41.6588,123.34,41.6583,123.3402,3,1,11487.0,6.0,,58.02707927408288
232,5b6234,5393868,2017/11/11,32.6894,112.8322,32.685,112.8469,2,7,17985.0,7.0,,1460.1123762989846
233,5h5781,5396841,2017/11/11,40.4595,115.9693,40.4596,115.9692,4,8,5999.0,2.0,,13.972183224691674
234,5a6498,5394974,2017/11/11,36.5413,115.2767,36.5416,115.2897,1,4,12100.0,4.0,,1161.8590974907354
235,5c1329,5393028,2017/11/11,40.4934,118.5549,40.489000000000004,118.5532,4,9,8149.0,5.0,,509.9410270639253
236,5c1279,5393110,2017/11/11,41.0008,118.6858,41.0011,118.6854,3,8,8398.0,3.0,,47.324020085089316
237,5c4200,5396135,2017/11/11,39.8879,118.8707,39.8879,118.8707,3,9,48349.0,41.0,,0.0
