,Unnamed: 0,CODE_SALESROOM,NAME_SALESROOM,NUM_LONGITUDE,NUM_LATITUDE,NAME_DISTRICT,Business
62,1868,68206,广州升音电信技术有限公司-沃尔玛深圳横岗店,114.19583,22.642585999999998,龙岗区,横岗
63,1875,68207,广州升音电信技术有限公司-沃尔玛深圳蛇口店,113.9263,22.495495000000002,南山区,"蛇口,海上世界,招商大厦"
64,1819,68209,广州升音电信技术有限公司-沃尔玛深圳香蜜湖店,114.03939,22.561594,福田区,"香蜜湖,景田,下梅林"
65,1869,68210,广州升音电信技术有限公司-沃尔玛深圳中山店,114.14205,22.554644,罗湖区,"黄贝岭,罗湖区委,文锦渡"
66,3195,69789,广州市天河区石牌宾果电子经营部-深圳鸿兴手机店华强分店,114.091835,22.547247,福田区,"华强北,上步,振华路"
67,3199,69782,广州市天河区石牌高颐通讯设备店-深圳鸿展手机店华强分店,114.09303999999999,22.548092,福田区,"上步,华强北,振华路"
68,192,64266,恒波龙岗南湾百门前合作厅,114.14883400000001,22.613000000000003,龙岗区,"桂芳园,康桥"
69,811,64341,恒波迈客风沙井店,113.81307,22.732832000000002,宝安区,沙井
70,1052,66890,恒丰泽—港澳城店,114.09231000000001,22.547857,福田区,"华强北,上步,振华路"
71,1927,68308,恒信通讯-新田店,114.09778,22.706594,龙华区,
72,2135,68556,宏丰中国移动4G店-观澜店,114.07926,22.687391,龙华区,
73,3021,69647,虹都单车行南山店,113.92411000000001,22.528557,南山区,"桂庙路口,南山医院,南头"
74,2766,69285,华立信福永益田华为店,113.98188999999999,22.543339000000003,宝安区,"白石洲,华侨城,深圳湾"
75,2763,69284,华立信福永益田苹果店,113.98188999999999,22.543339000000003,宝安区,"白石洲,华侨城,深圳湾"
76,2403,68924,华强北荣耀高级体验店,114.09378000000001,22.551832,福田区,"华强北,上步,振华路"
77,383,65589,捷通达深圳市宝安龙华金龙华店,114.02295,22.667858,宝安区,"龙华,美丽365花园"
78,391,65590,捷通达深圳市宝安区翻身路店,113.902626,22.564146,宝安区,"翻身路,新安"
79,961,65591,捷通达深圳市福田连城新天地店,114.06531499999998,22.540575,福田区,"岗厦,购物公园,福华新村"
80,392,65592,捷通达深圳市福田区上沙花园店,114.036934,22.531032999999997,福田区,"下沙,沙头,上沙"
81,393,65593,捷通达深圳市福田上梅林店,114.06065,22.571222,福田区,"上梅林,莲花北村,笔架山"
82,396,65595,捷通达深圳市南山白石洲店,113.974846,22.54747,南山区,"深圳湾,白石洲,华侨城"
83,982,65596,捷通达深圳市南山崇尚百货店,113.93124399999999,22.522429000000002,南山区,"南油,海王大厦,桂庙路口"
84,981,65598,捷通达深圳市南山西丽新高路店,113.95734399999999,22.588542999999998,南山区,西丽
85,69,63500,金龙华六店（金龙华三星）,114.02295,22.667858,宝安区,"龙华,美丽365花园"
86,3228,69832,京网-深圳宝安壹方城店,113.89497,22.558197,宝安区,"翻身路,新安"
87,1925,68282,九机网科技（深圳）有限公司-宝安中洲店,114.04227,22.653226999999998,宝安区,"龙华,民治,锦绣江南"
88,2104,68500,九机网科技（深圳）有限公司南山壹平坊店,113.95071999999999,22.558887,南山区,"科技园,南山医院,大冲"
89,1487,67670,九机网深圳宝安海雅店,113.9149,22.56501,宝安区,"新安,翻身路,南头"
90,1491,67668,九机网深圳华强北万商店,114.09515,22.553225,福田区,"华强北,上步,振华路"
91,3205,69795,君华电动车,114.10205,22.72672,龙华区,
92,1593,67914,柯林通信曼哈店,114.093956,22.552372000000002,福田区,"华强北,上步,振华路"
93,3047,69676,乐语-南山欢乐颂店,113.92686,22.540894,南山区,"南新路口,南山医院,南头"
94,367,66064,磊科数码经营部保利店,113.9455,22.523039999999998,南山区,"后海,南油,南山医院"
95,1041,66932,磊科数码前海店,113.93908,22.513044,南山区,"后海,南油,蛇口"
96,1053,66899,利兴隆通讯商行国冠数码店,114.0939,22.550648000000002,福田区,"振华路,上步,华强北"
97,74,63298,莲塘聚宝华府NS店,114.17506999999999,22.568687,罗湖区,莲塘
98,1143,67059,龙东志建远通小米店,114.296745,22.724344,龙岗区,
99,1011,63511,龙华清湖三星,114.05967,22.673067,宝安区,"美丽365花园,龙华"
100,2131,68568,论衡生肖（横岗）中国移动店,114.212456,22.652924,龙岗区,横岗
101,318,65409,罗湖区中创通讯器材店,114.119316,22.570711,罗湖区,"笋岗,泥岗,清水河"
102,649,64193,迈客风坂田店,114.0697,22.640326,龙岗区,"坂田,万科城"
103,3138,69669,迈客风深圳宝安体育馆店,113.88695,22.567556,宝安区,"西乡,翻身路,新安"
104,135,63829,迈客风体验店,114.34943999999999,22.697277,坪山区,坪山
105,1093,67045,南山区家家乐商店,113.95965600000001,22.583338,南山区,西丽
106,918,66560,牛波士科技-经济大厦店,114.09328000000001,22.548882,福田区,"华强北,上步,振华路"
