,CODE_SALESROOM,NAME_SALESROOM,NUM_LONGITUDE,NUM_LATITUDE,Business
1454,107749,天津市静海区鑫盛佰通通讯器材经营部,117.05933999999999,38.951004,杨成庄
1455,107914,天津市宝坻区维建通讯器材经营部,117.32706,39.63817,郝各庄
1456,107869,天津市红桥区天能电动车雅迪店,117.15298500000002,39.187943,"咸阳北路街,本溪路,丁字沽"
1457,107923,天津市东丽区永贤通信器材经营部,117.48983999999999,39.0873,
1458,107889,天津市蓟县鑫诚双吉电动车经营部,117.41231499999999,39.9907,洇溜
1459,107866,天津市蓟县王占波电动自行车商行,117.4202,40.043440000000004,城关
1460,107932,天津市涛铃商贸有限公司,117.4774,39.777935,
1461,108053,天津市河东区天达通通讯器材经营部,117.27087,39.113426000000004,"中山门,大桥道,程林街"
1462,108062,天津优畅通讯器材销售有限公司,117.13643,39.375256,
1463,107988,天津市东丽区杨秀芬电动自行车经营部,117.34943,39.092705,"新立,丰年村"
1464,107867,天津市滨海新区燕信通讯,117.29776000000001,38.827259999999995,
1465,107998,天津市西青区恒兴通手机店oppo百信通手机大卖场,117.20273999999999,39.246803,
1466,108011,天津市滨海新区塘沽万科通讯器材经营部,117.60296000000001,39.03979,胡家园街
1467,108088,天津市西青区金阳光电动车商行,117.22811000000002,39.01808,大寺
1468,107989,天津市金鑫汇网络科技有限公司,117.203026,39.638138,
1469,107976,瑞濠通讯vivo店,117.646286,39.059177000000005,"杭州道街,新河街,塘沽城区"
1470,108028,天津市津南区星光通讯器材经营部二店,117.497025,38.998077,葛沽
1471,108000,天津市津南区尚酷乐电脑经营部,117.412796,38.956013,北闸口
1472,108017,天津塘沽金锋安邦电讯服务部,117.71243999999999,39.058685,
1473,108022,天津市红明通讯器材经营部,117.28615,39.66165,马家店
1474,107927,天津市北辰区姜胡通讯器材经营部OPPO给力通讯,117.04310600000001,39.233356,双口
1475,107978,天津亿瑞信商贸有限公司洋货店,117.66372,39.03465,"塘沽城区,向阳街,解放路街"
1476,108094,天津市武清区景月电动自行车商行,117.07776000000001,39.399563,徐官屯
1477,108109,凤荣通讯经营部,117.26768,39.397459999999995,上马台
1478,108125,天津市津南区语苒手机配件经营部,117.50823000000001,38.994743,葛沽
1479,108158,天津市东丽区双赢通讯器材经营部,117.349884,39.093662,"新立,丰年村"
1480,108130,天津畅盛通讯经营部,117.13643,39.375256,
1481,108087,天津市武清区晓亮通讯器材经营部,117.20443,39.539592999999996,崔黄口
1482,108203,天津市静海区樊家程电动自行车商行,116.86232,38.941086,梁头
1483,108205,天津市静海区直达车手机店,116.929146,38.87805,双塘
1484,108235,天津市北辰区刘丹通讯器材经营部oppo君晟通讯,117.35883000000001,39.255047,西堤头
1485,108179,天津市津南区葛皓手机经营部,117.50823000000001,38.994743,葛沽
1486,108181,天津市蓟县喜鹤翔电动自行车商行,117.4202,40.043440000000004,城关
1487,108233,天津市北辰区津红丽通讯器材经营部oppo红丽通讯,117.241455,39.255554,小淀
1488,108273,天津市滨海新区百分百通讯器材经营部,117.49565,38.741245,海滨
1489,108153,天津市北辰区单正园手机店万达手机卖场,117.04198999999998,39.20207,青光
1490,108204,天津市滨海新区康达通讯,117.48126,38.865387,迎宾街
1491,108374,天津市和平区南江通讯vivo智能手机体验中心,117.194374,39.13555,"荣业大街,南市,南市"
1492,108347,天津市静海去丰源源通讯器材经营部,117.07167,38.817603999999996,
1493,108339,天津市南开区恒创联达电子产品销售中心,117.163826,39.11971,"六里台,白堤路,风荷园"
1494,108298,天津市宁河县志孝五金门市部,117.7646,39.552143,丰台
1495,108164,天津市西青区欣顺发通讯器材销售中心,117.12586999999999,39.175034000000004,"西营门,向阳路街"
1496,102563,深圳市浩翔聚力网络科技有限公司-21,114.09403999999999,22.547144,"上步,华强北,振华路"
1497,108303,天津市涛铃商贸有限公司形象店,117.31585,39.729079999999996,城关
1498,108237,天津市宝坻区政垒手机经销部,117.61976999999999,39.585784999999994,八门城
1499,108407,起航时代永明路OPPO专卖店,117.48414,38.856716,迎宾街
1500,108483,天津市南开区昆富缘通讯咸阳路店,117.14071000000001,39.131157,"长虹公园,嘉陵道街,天拖地区"
